FP014514 DBP_1
FP012955 SOST_1
FP006223 WBSCR28_1
FP000086 PARK7_1
FP009781 RP11-579D7_1
FP008366 PSD_1
FP014356 ZNF574_1
FP014266 RASGRP4_1
FP011976 TUFM_1
FP011045 NRDE2_1
FP000856 SLC16A1_1
FP005564 MLIP_1
FP006897 POLB_1
FP007271 SMARCA2_1
FP012537 C17orf74_1
FP009262 FAM76B_1
FP009939 RPL41_1
FP006969 CSPP1_1
FP011627 CIB1_1
FP012560 NAA38_1
FP012233 TANGO6_1
FP004761 JADE2_1
FP000441 MYCL_1
FP010467 SERTM1_1
FP012610 ELAC2_1
FP009581 CD163_1
FP013519 SIGLEC15_1
FP004770 PITX1_1
FP006170 DDC_1
FP006654 TMEM176A_1
FP002361 SLC4A10_1
FP006241 CCL24_1
FP004472 NIM1K_1
FP010535 KPNA3_1
FP015000 CDK5RAP1_1
FP007594 FSD1L_1
FP003910 KDR_1
FP004901 SPINK6_1
FP003346 PARP14_1
FP012748 NF1_1
FP005839 EPM2A_1
FP016006 PRICKLE3_1
FP009121 CPT1A_1
FP013471 IMPACT_1
FP008566 TSPAN4_1
FP008640 ZNF214_1
FP001249 CD247_1
FP014777 AC003006_1
FP009636 PRB1_1
FP001908 MSH2_1
FP012781 SLFN11_1
FP011830 GLYR1_1
FP003008 PRSS42_1
FP006185 CHCHD2_1
FP001416 ARL8A_1
FP012733 CORO6_1
FP014090 ARMC6_1
FP005520 ENPP4_1
FP000797 TAF13_1
FP010674 EDDM3B_1
FP006420 POLR2J_1
FP013649 ELANE_1
FP007988 BMI1_1
FP008155 C10orf105_1
FP012966 G6PC3_1
FP011758 RAB26_1
FP015798 DENND6B_1
FP008859 ZDHHC5_1
FP001233 PBX1_1
FP009763 SLC38A2_1
FP006796 RHOBTB2_1
FP014590 EMC10_1
FP003497 TSC22D2_1
FP008003 APBB1IP_1
FP013866 ANGPTL6_1
FP013862 PIN1_1
FP004452 RICTOR_1
FP003585 ZMAT3_1
FP013403 ENOSF1_1
FP010735 EMC9_1
FP006419 LRWD1_1
FP001255 DCAF6_1
FP010138 ANKS1B_1
FP009846 KRT7_1
FP007186 SLC45A4_1
FP010142 DEPDC4_1
FP002086 PTCD3_1
FP010006 CTDSP2_1
FP000357 TSSK3_1
FP010630 MYO16_1
FP013914 CNN1_1
FP002940 CX3CR1_1
FP009012 SNX15_1
FP005253 RPP21_1
FP007494 CTSL_1
FP010995 ZC2HC1C_1
FP001655 OPN3_1
FP007673 MRRF_1
FP006045 TRA2A_1
FP004678 SRP19_1
FP008730 NELL1_1
FP003831 SMIM20_1
FP006746 CTSB_1
FP014247 ZNF570_1
FP009265 MAML2_1
FP000207 KIF17_1
FP015197 RAE1_1
FP000477 SLC2A1_1
FP006553 AKR1B1_1
FP003010 PTH1R_1
FP007413 ZCCHC7_1
FP010012 MON2_1
FP002244 SCTR_1
FP016055 PAGE5_1
FP014617 ETFB_1
FP002799 SETD5_1
FP000554 ELAVL4_1
FP003793 WDR1_1
FP004186 MFSD8_1
FP004691 ATG12_1
FP006351 ZNF655_1
FP003960 CSN3_1
FP004471 ZNF131_1
FP011873 BFAR_1
FP002941 CCR8_1
FP012749 OMG_1
FP010531 PHF11_1
FP015070 ACTR5_1
FP004584 F2RL2_1
FP003247 ABI3BP_1
FP014758 ZNF264_1
FP001754 KLHL29_1
FP006840 INTS9_1
FP002540 BMPR2_1
FP014594 SYT3_1
FP016330 FHL1_1
FP006398 TRIP6_1
FP001354 EDEM3_1
FP000890 MAN1A2_1
FP008489 BCCIP_1
FP015104 WFDC5_1
FP002074 GGCX_1
FP015865 ASB11_1
FP015767 FAM118A_1
FP001058 ATP8B2_1
FP005138 RIOK1_1
FP008858 CLP1_1
FP013497 MAPRE2_1
FP003052 CCDC71_1
FP003130 SMIM4_1
FP003324 NDUFB4_1
FP000913 PIAS3_1
FP005132 NRN1_1
FP008965 LGALS12_1
FP007883 FAM166A_1
FP001894 SIX3_1
FP002738 UBE2F_1
FP000892 GDAP2_1
FP006036 STEAP1B_1
FP003155 CCDC66_1
FP007722 SIAT7D_1
FP007512 IARS_1
FP005584 COL19A1_1
FP000798 TMEM167B_1
FP006295 KRIT1_1
FP004272 C4orf46_1
FP001567 CNIH4_1
FP014740 U2AF2_1
FP002283 AMER3_1
FP006929 RP1_1
FP008515 TUBGCP2_1
FP009575 C1R_1
FP003545 TRIM59_1
FP004191 C4orf33_1
FP009355 NXPE4_1
FP012885 KRT37_1
FP001758 C2orf44_1
FP004690 CDO1_1
FP009082 PC_1
FP006868 RAB11FIP1_1
FP011424 PLEKHO2_1
FP002117 TRIM43B_1
FP014068 PGPEP1_1
FP011411 FBXL22_1
FP010956 TTC9_1
FP009456 ACRV1_1
FP001054 C1orf43_1
FP009744 LRRK2_1
FP015687 APOBEC3G_1
FP011410 USP3_1
FP003446 ESYT3_1
FP011228 FSIP1_1
FP008140 H2AFY2_1
FP009227 CREBZF_1
FP002557 ADAM23_1
FP009866 KRT79_1
FP011832 PPL_1
FP014048 GLT25D1_1
FP003217 VGLL3_1
FP011373 PYGO1_1
FP007121 SLC30A8_1
FP015810 CHKB_1
FP015721 CSDC2_1
FP010065 GLIPR1L1_1
FP009931 PMEL_1
FP004604 MTX3_1
FP005785 ARG1_1
FP013145 INTS2_1
FP008108 ZNF365_1
FP004847 PCDHGA1_1
FP003583 TBL1XR1_1
FP000891 FAM46C_1
FP012300 TMEM231_1
FP002924 DLEC1_1
FP012442 SHPK_1
FP001504 DIEXF_1
FP003994 AREG_1
FP008225 WAPL_1
FP004104 MANBA_1
FP016441 GAB3_1
FP002882 NKIRAS1_1
FP009398 FOXR1_1
FP001911 FBXO11_1
FP014580 VRK3_1
FP004025 C4orf22_1
FP004253 PLRG1_1
FP000073 TNFRSF25_1
FP008557 PDDC1_1
FP007117 EIF3H_1
FP008097 BICC1_1
FP001482 IL24_1
FP004068 HERC3_1
FP008811 AMBRA1_1
FP008531 SIRT3_1
FP005078 ZNF354A_1
FP002459 DNAJC10_1
FP014026 F2RL3_1
FP000045 PANK4_1
FP009854 KRT6C_1
FP015723 DESI1_1
FP006682 CNPY1_1
FP009809 TMBIM6_1
FP008376 WBP1L_1
FP011707 FBXL16_1
FP001000 FLG_1
FP013340 CEP131_1
FP012611 HS3ST3A1_1
FP003519 RP11-451G4_1
FP015316 C21orf62_1
FP002594 IGFBP2_1
FP004131 CASP6_1
FP005693 BEND3_1
FP010302 OASL_1
FP001986 GMCL1_1
FP015286 CHODL_1
FP010532 RCBTB1_1
FP008628 HPX_1
FP009039 AP5B1_1
FP009906 NFE2_1
FP000476 ZNF691_1
FP015616 MCM5_1
FP007241 TMEM249_1
FP012154 CCDC113_1
FP004016 MRPL1_1
FP015632 PVALB_1
FP013108 SRSF1_1
FP011706 WDR24_1
FP005226 HIST1H2BN_1
FP007280 AK3_1
FP012887 KRT35_1
FP001282 FMO4_1
FP011549 CRABP1_1
FP011663 ASB7_1
FP001974 CNRIP1_1
FP014630 HAS1_1
FP009125 TPCN2_1
FP014480 BBC3_1
FP015277 LIPI_1
FP013710 SGTA_1
FP004638 FAM81B_1
FP014024 NWD1_1
FP014564 BCL2L12_1
FP012143 ADGRG5_1
FP001413 RNPEP_1
FP007226 GRINA_1
FP010919 GPX2_1
FP009858 KRT72_1
FP008382 INA_1
FP008677 PARVA_1
FP000090 CA6_1
FP015665 PLA2G6_1
FP007768 C9orf78_1
FP001927 SPTBN1_1
FP001706 ID2_1
FP003869 SLC30A9_1
FP000071 HES2_1
FP006363 COPS6_1
FP015504 BCR_1
FP006353 CYP3A5_1
FP011239 IVD_1
FP003557 PDCD10_1
FP004915 PPARGC1B_1
FP002190 SULT1C2_1
FP007785 RAPGEF1_1
FP001521 BATF3_1
FP007092 BAALC_1
FP008576 CTSD_1
FP013621 KCNG2_1
FP009427 SC5D_1
FP000852 MOV10_1
FP005718 AMD1_1
FP000260 TMEM57_1
FP002614 STK36_1
FP015960 UBE1_1
FP005789 CTGF_1
FP008040 CSGALNACT2_1
FP004118 TBCK_1
FP008405 SMNDC1_1
FP013192 PITPNC1_1
FP000080 DNAJC11_1
FP012258 IL34_1
FP011032 FLRT2_1
FP004170 CCNA2_1
FP009860 KRT2_1
FP013859 ZNF846_1
FP009880 PFDN5_1
FP005461 USP49_1
FP012131 FAM192A_1
FP006907 FNTA_1
FP012276 PKD1L3_1
FP003955 STATH_1
FP011958 GTF3C1_1
FP015262 TPD52L2_1
FP011561 KIAA1024_1
FP015395 PDXK_1
FP015525 SNRPD3_1
FP007996 ARHGAP21_1
FP015643 RAC2_1
FP009953 IL23A_1
FP013166 CSH2_1
FP016348 SPANXA2_1
FP001316 TOR3A_1
FP002674 FBXO36_1
FP007315 HAUS6_1
