FP000668 stk25b_1
FP001822 si:dkey-237m9.1_1
FP007458 opa3_1
FP002169 stard8_1
FP006818 MALSU1_1
FP004309 fut10_1
FP007251 zdhhc7_1
FP005132 ARHGEF15-2_1
FP005597 flrt3_1
FP008349 cep85l_1
FP003025 ufsp1_1
FP007150 zgc:162576_1
FP001782 lamb1b_1
FP008067 glrx5_1
FP001659 helb_1
FP006760 si:dkey-122a22.2_1
FP008103 si:ch73-74h11.1_1
FP004789 rem1_1
FP008384 FEZ2-1_1
FP001763 kmt2e_1
FP001615 zgc:55888_1
FP006207 usp32_1
FP001054 coro7_1
FP000257 prkx_1
FP002615 rab11fip4b_1
FP000177 smim14_1
FP008100 brms1lb_1
FP001675 pnpla8_1
FP006417 grb10b_1
FP002945 pnp5a_1
FP003636 atp5f1_1
FP005981 ttc9c_1
FP003175 nkd1_1
FP002526 fopnl_1
FP006686 scmh1_1
FP004483 cltca_1
FP002407 abhd10a_1
FP001824 si:dkey-16b10.2_1
FP000787 fastk_1
FP000606 sdr16c5a_1
FP001584 mapk11_1
FP007175 naa30_1
FP004574 slc37a4b_1
FP002990 prmt3_1
FP004657 slc2a10_1
FP003217 insig1_1
FP001289 zgc:153733_1
FP002497 bin1_1
FP001096 bckdhbl_1
FP000948 dad1_1
FP001617 lsm8_1
FP002835 rab22a_1
FP002860 sdc4_1
FP000429 aptx_1
FP005283 adkb-1_1
FP003162 bbox1_1
FP002060 tango2_1
FP008028 zgc:162161_1
FP002257 hapln1a_1
FP009483 ankrd52a_1
FP004578 git2b_1
FP000534 iba57_1
FP001176 adsl_1
FP002481 trim25l_1
FP009250 sox18_1
FP003994 wdr3_1
FP009698 zgc:66014_1
FP004439 inpp5k-1_1
FP002070 hdr_1
FP000907 klhl24a_1
FP004159 tfdp1a_1
FP009883 RPS17L_1
FP005324 CABZ01066734.1_1
FP008842 FNIP1_1
FP000521 c8b_1
FP003532 depdc1a_1
FP007051 kdm1a_1
FP007486 acadl_1
FP007935 nkain1_1
FP009293 sdcbp2_1
FP006316 hsc70_1
FP005056 kbtbd2_1
FP002351 rsph4a_1
FP009007 s100b_1
FP005243 timm23_1
FP000329 med19b_1
FP002521 zgc:112023_1
FP006116 ywhag2_1
FP008623 itpkca_1
FP001941 mxd1_1
